# q (1/Angstrom), Intensity (counts)
4.000000476609962691e-02,2.090190040525360018e+03
4.100000488524913056e-02,2.072913272910447631e+03
4.200000500439864115e-02,2.049990267335734188e+03
4.300000512354814480e-02,2.027762850007098450e+03
4.400000524269764846e-02,2.004579282976325658e+03
4.500000536184715905e-02,1.982053478214775623e+03
4.600000548099666270e-02,1.967255646929597560e+03
4.700000560014616635e-02,1.953957046236812175e+03
4.800000571929567000e-02,1.931580118738109832e+03
4.900000583844518059e-02,1.903574011691137912e+03
5.000000595759468425e-02,1.881960869758347599e+03
5.100000607674420178e-02,1.858457400487873429e+03
5.200000619589369155e-02,1.837789819499644636e+03
5.300000631504320214e-02,1.811628668638397812e+03
5.400000643419271967e-02,1.784943924997359773e+03
5.500000655334220945e-02,1.753423085898684349e+03
5.600000667249172004e-02,1.725713750277396457e+03
5.700000679164123757e-02,1.693514335232581971e+03
5.800000691079072734e-02,1.662829400544924738e+03
5.900000702994023793e-02,1.634827137442958701e+03
6.000000714908973465e-02,1.609143883886064941e+03
6.100000726823924524e-02,1.579317836662834907e+03
6.200000738738875583e-02,1.549867744344078346e+03
6.300000750653825254e-02,1.517653453292617996e+03
6.400000762568776314e-02,1.487496226537166194e+03
6.500000774483727373e-02,1.459171976962280496e+03
6.600000786398677044e-02,1.430781714491483399e+03
6.700000798313628103e-02,1.397174099070252623e+03
6.800000810228579162e-02,1.365897982733188883e+03
6.900000822143528834e-02,1.331719438005816983e+03
7.000000834058479893e-02,1.299469723001382590e+03
7.100000845973430952e-02,1.264533530311267214e+03
7.200000857888380623e-02,1.230038381341948707e+03
7.300000869803331682e-02,1.199986012290278040e+03
7.400000881718282741e-02,1.167804385949661764e+03
7.500000893633232413e-02,1.134913928529233999e+03
7.600000905548183472e-02,1.105469117141708466e+03
7.700000917463134531e-02,1.073399689365057384e+03
7.800000929378084202e-02,1.042599666397180727e+03
7.900000941293035261e-02,1.011816481179148468e+03
8.000000953207986321e-02,9.816702864760978855e+02
8.100000965122935992e-02,9.516028339762001451e+02
8.200000977037887051e-02,9.232129082723988631e+02
8.300000988952838110e-02,8.938483006591837920e+02
8.400001000867787782e-02,8.647350933930831616e+02
8.500001012782738841e-02,8.371928545971934454e+02
8.600001024697689900e-02,8.094403530850250945e+02
8.700001036612639571e-02,7.831805012245389435e+02
8.800001048527590630e-02,7.585108855018175973e+02
8.900001060442541689e-02,7.313229775676567215e+02
9.000001072357491361e-02,7.063192218345227502e+02
9.100001084272442420e-02,6.789270281365725168e+02
9.200001096187392091e-02,6.533882815898031140e+02
9.300001108102343150e-02,6.313540741069074329e+02
9.400001120017294209e-02,6.082073408600523408e+02
9.500001131932243881e-02,5.850004846027011354e+02
9.600001143847194940e-02,5.631393271866736541e+02
9.700001155762145999e-02,5.414965533064324745e+02
9.800001167677095670e-02,5.203958705362751971e+02
9.900001179592046729e-02,4.982291401459827966e+02
1.000000119150699779e-01,4.766233636741126816e+02
1.010000120342194885e-01,4.569114520713994239e+02
1.020000121533689852e-01,4.377604415538133367e+02
1.030000122725184958e-01,4.191211020157302869e+02
1.040000123916680064e-01,4.010831564287404944e+02
1.050000125108175031e-01,3.832405775058712152e+02
1.060000126299670137e-01,3.648866170203676234e+02
1.070000127491165243e-01,3.470425894723450142e+02
1.080000128682660210e-01,3.312187004513309603e+02
1.090000129874155316e-01,3.161339352997453034e+02
1.100000131065650422e-01,3.003136734496163740e+02
1.110000132257145389e-01,2.860398849034756950e+02
1.120000133448640495e-01,2.718422839536506785e+02
1.130000134640135601e-01,2.568877311079154424e+02
1.140000135831630568e-01,2.435659686139483711e+02
1.150000137023125674e-01,2.318006664972132853e+02
1.160000138214620641e-01,2.193088855352893063e+02
1.170000139406115747e-01,2.071831154919041182e+02
1.180000140597610853e-01,1.958904107340029839e+02
1.190000141789105820e-01,1.847073679886607636e+02
1.200000142980600926e-01,1.749300300856675676e+02
1.210000144172096032e-01,1.642238680472065369e+02
1.220000145363590999e-01,1.541539174860708954e+02
1.230000146555086105e-01,1.451883384123658516e+02
1.240000147746581211e-01,1.348977193671948953e+02
1.250000148938076039e-01,1.272250500824723645e+02
1.260000150129571284e-01,1.192830138901144466e+02
1.270000151321066528e-01,1.103646470606813352e+02
1.280000152512561218e-01,1.032503052425962409e+02
1.290000153704056463e-01,9.683143617026566119e+01
1.300000154895551707e-01,9.062379311151117633e+01
1.310000156087046397e-01,8.405388770336696780e+01
1.320000157278541641e-01,7.862889060199934477e+01
1.330000158470036886e-01,7.318612408202956487e+01
1.340000159661531576e-01,6.704685559180481391e+01
1.350000160853026820e-01,6.171639521482599378e+01
1.360000162044522065e-01,5.743512654414892893e+01
1.370000163236016755e-01,5.307879339384905393e+01
1.380000164427511999e-01,4.909750474992627289e+01
1.390000165619007244e-01,4.528059419956377951e+01
1.400000166810501934e-01,4.138563001624191884e+01
1.410000168001997178e-01,3.781321533482595498e+01
1.420000169193492423e-01,3.504068901933477775e+01
1.430000170384987113e-01,3.214455505183101991e+01
1.440000171576482357e-01,2.958361161946602635e+01
1.450000172767977324e-01,2.721699402927053768e+01
1.460000173959472292e-01,2.474475596698356128e+01
1.470000175150967536e-01,2.267567301659518364e+01
1.480000176342462503e-01,2.061876456839603122e+01
1.490000177533957471e-01,1.919376867488142580e+01
1.500000178725452715e-01,1.681702668741941409e+01
1.510000179916947682e-01,1.481315319286848364e+01
1.520000181108442927e-01,1.346594959608319186e+01
1.530000182299937894e-01,1.245535392138577890e+01
1.540000183491432861e-01,1.167546605727392262e+01
1.550000184682928106e-01,1.136429181759649509e+01
1.560000185874423073e-01,1.087527060678942803e+01
1.570000187065918040e-01,9.975235280039015606e+00
1.580000188257413285e-01,9.354196139461009807e+00
1.590000189448908252e-01,9.283138217806026660e+00
1.600000190640403219e-01,8.981763296831516641e+00
1.610000191831898464e-01,8.835598896742041575e+00
1.620000193023393431e-01,8.675409193122803231e+00
1.630000194214888398e-01,9.219499255754570299e+00
1.640000195406383643e-01,9.234386146923114325e+00
1.650000196597878610e-01,8.470886144076047231e+00
1.660000197789373577e-01,8.905982663505383812e+00
1.670000198980868822e-01,9.476383185020551991e+00
1.680000200172363789e-01,9.213785820579559527e+00
1.690000201363858756e-01,9.479489378764739627e+00
1.700000202555354001e-01,9.788859935354054187e+00
1.710000203746848968e-01,9.752537999874604679e+00
1.720000204938343935e-01,1.036831535731069209e+01
1.730000206129839180e-01,1.066544303072625155e+01
1.740000207321334147e-01,1.171981647880703292e+01
1.750000208512829114e-01,1.221023322088927898e+01
1.760000209704324359e-01,1.255844517203894384e+01
1.770000210895819326e-01,1.311336385387478742e+01
1.780000212087314293e-01,1.384937589613923592e+01
1.790000213278809538e-01,1.362300308935721205e+01
1.800000214470304227e-01,1.364923589371501578e+01
1.810000215661799472e-01,1.350321394219220394e+01
1.820000216853294717e-01,1.372611566937635530e+01
1.830000218044789406e-01,1.469361829371624140e+01
1.840000219236284651e-01,1.509529430060800337e+01
1.850000220427779896e-01,1.526476099262735886e+01
1.860000221619274585e-01,1.598303688608471873e+01
1.870000222810769830e-01,1.591564852943729136e+01
1.880000224002265075e-01,1.567447307989453975e+01
1.890000225193759764e-01,1.575630552138146356e+01
1.900000226385255009e-01,1.628706927695309048e+01
1.910000227576750254e-01,1.616900329697614325e+01
1.920000228768244943e-01,1.618604913355410702e+01
1.930000229959740188e-01,1.720075314064256133e+01
1.940000231151235432e-01,1.744844348606216045e+01
1.950000232342730122e-01,1.721984535966518592e+01
1.960000233534225367e-01,1.749037017952218775e+01
1.970000234725720611e-01,1.740475339620506645e+01
1.980000235917215301e-01,1.783482309477497552e+01
1.990000237108710546e-01,1.835969538987002636e+01
2.000000238300205513e-01,1.815936294435054776e+01
2.010000239491700480e-01,1.758159764652596380e+01
2.020000240683195170e-01,1.788319973196068702e+01
2.030000241874690414e-01,1.786596201430067765e+01
2.040000243066185659e-01,1.731288621041545639e+01
2.050000244257680626e-01,1.713183690141595150e+01
2.060000245449175871e-01,1.683999719958899277e+01
2.070000246640670838e-01,1.690885253222154461e+01
2.080000247832165527e-01,1.684768780237550345e+01
2.090000249023660772e-01,1.689695569465517622e+01
2.100000250215156017e-01,1.656726596355466086e+01
2.110000251406650984e-01,1.680103304815715148e+01
2.120000252598146229e-01,1.660317378913278219e+01
2.130000253789641196e-01,1.662683818166223659e+01
2.140000254981135885e-01,1.579622189851384917e+01
2.150000256172631130e-01,1.530543482811283695e+01
2.160000257364126375e-01,1.497333281002742922e+01
2.170000258555621342e-01,1.506919498898828635e+01
2.180000259747116587e-01,1.510020314614314429e+01
2.190000260938611554e-01,1.426340918006988545e+01
2.200000262130106243e-01,1.389026517125414273e+01
2.210000263321601488e-01,1.338485010479863035e+01
2.220000264513096733e-01,1.342633624741698384e+01
2.230000265704591700e-01,1.314750885517791801e+01
2.240000266896086945e-01,1.246628056134905194e+01
2.250000268087581912e-01,1.207540635255934092e+01
2.260000269279076601e-01,1.157713749495675870e+01
2.270000270470571846e-01,1.137611725941171414e+01
2.280000271662067091e-01,1.126815783369934820e+01
2.290000272853562058e-01,1.122158834603203559e+01
2.300000274045057302e-01,1.042446145473290642e+01
2.310000275236551992e-01,9.698223389581428933e+00
2.320000276428046959e-01,9.787858700093210018e+00
2.330000277619542204e-01,9.494153524027026947e+00
2.340000278811037449e-01,8.997176805914421038e+00
2.350000280002532416e-01,8.857444468305033070e+00
2.360000281194027660e-01,8.939146240231366392e+00
2.370000282385522350e-01,8.320037290128496466e+00
2.380000283577017317e-01,7.820876699373130236e+00
2.390000284768512562e-01,7.488157011040328825e+00
2.400000285960007806e-01,7.621153709199319337e+00
2.410000287151502774e-01,7.010738764930223965e+00
2.420000288342998018e-01,6.195435298144957414e+00
2.430000289534492708e-01,6.339451455846997874e+00
2.440000290725987675e-01,6.450047975291383295e+00
2.450000291917482920e-01,6.272242766411409320e+00
2.460000293108978164e-01,5.992533428124005468e+00
2.470000294300473132e-01,6.380204527756006883e+00
2.480000295491968376e-01,5.498466512856410304e+00
2.490000296683463066e-01,4.838079100210308070e+00
2.500000297874958033e-01,4.706111489237144951e+00
2.510000299066453278e-01,4.321174908017937355e+00
2.520000300257948522e-01,4.396226284605134538e+00
2.530000301449443767e-01,4.327695569175403989e+00
2.540000302640938457e-01,3.611155267344500430e+00
2.550000303832433146e-01,3.328380118990722281e+00
2.560000305023928391e-01,3.593605106127455429e+00
2.570000306215423636e-01,3.446629915926877175e+00
2.580000307406918880e-01,3.225863566341359956e+00
2.590000308598414125e-01,3.055544478489949256e+00
2.600000309789908814e-01,2.919540153573350949e+00
2.610000310981403504e-01,2.863730361425240289e+00
2.620000312172898749e-01,2.263680341735280876e+00
2.630000313364393993e-01,2.021770355690762244e+00
2.640000314555889238e-01,2.344423736328991481e+00
2.650000315747384483e-01,2.780535233384597404e+00
2.660000316938879172e-01,2.573318101278346148e+00
2.670000318130373862e-01,2.265228771738449609e+00
2.680000319321869107e-01,2.518099350716383356e+00
2.690000320513364351e-01,2.869525859475587026e+00
2.700000321704859596e-01,2.589857050805392191e+00
2.710000322896354841e-01,2.267958871603482862e+00
2.720000324087849530e-01,2.163140073018254839e+00
2.730000325279344220e-01,1.985117462098415331e+00
2.740000326470839465e-01,2.048244718273210196e+00
2.750000327662334709e-01,2.358550333859156467e+00
2.760000328853829954e-01,2.277595311905415087e+00
2.770000330045325199e-01,2.235222897365389372e+00
2.780000331236819888e-01,2.126354729713881397e+00
2.790000332428314578e-01,1.592254651707165181e+00
2.800000333619809822e-01,1.588135078133845468e+00
2.810000334811305067e-01,1.935327313136454563e+00
2.820000336002800312e-01,2.318681215551990249e+00
2.830000337194295557e-01,2.265290463402962473e+00
2.840000338385790246e-01,2.127002232026555362e+00
2.850000339577284936e-01,2.077043519687961748e+00
2.860000340768780180e-01,2.207424266597385554e+00
2.870000341960275425e-01,2.191347458291033945e+00
2.880000343151770670e-01,2.472666847772202914e+00
2.890000344343265359e-01,2.100753418091315439e+00
2.900000345534760604e-01,1.694117309841487895e+00
2.910000346726255294e-01,2.222498243388528749e+00
2.920000347917750538e-01,2.717034432533694144e+00
2.930000349109245783e-01,2.615511223241497873e+00
2.940000350300741028e-01,2.255493093917905867e+00
2.950000351492235717e-01,2.659913039884884256e+00
2.960000352683730962e-01,2.708841136572956998e+00
2.970000353875225652e-01,2.735087808202791848e+00
2.980000355066720896e-01,2.636307059911175088e+00
2.990000356258216141e-01,2.689545165162883222e+00
3.000000357449711386e-01,2.733334951119800849e+00
3.010000358641206075e-01,2.852214258680078274e+00
3.020000359832701320e-01,3.145928930194983764e+00
3.030000361024196565e-01,2.782804284023796981e+00
3.040000362215691254e-01,3.019077807827130755e+00
3.050000363407186499e-01,3.096293162875170424e+00
3.060000364598681744e-01,2.885178659254663103e+00
3.070000365790176433e-01,2.734973497436499201e+00
3.080000366981671678e-01,3.205904476322515961e+00
3.090000368173166923e-01,3.120052799272755806e+00
3.100000369364661612e-01,3.051846447674293472e+00
3.110000370556156857e-01,3.273729449311758799e+00
3.120000371747652101e-01,3.074474987202464149e+00
3.130000372939146791e-01,2.925117999669126334e+00
3.140000374130642036e-01,3.037884697455538685e+00
3.150000375322137280e-01,2.911466765718373040e+00
3.160000376513631970e-01,2.919188782172128072e+00
3.170000377705127215e-01,2.967506654319009840e+00
3.180000378896622459e-01,3.018221735858332977e+00
3.190000380088117149e-01,2.819834960097608700e+00
3.200000381279612394e-01,2.814677716285601150e+00
3.210000382471107638e-01,3.141315897402705559e+00
3.220000383662602328e-01,3.347094720946984125e+00
3.230000384854097573e-01,3.048572375650692834e+00
3.240000386045592262e-01,2.778816069939693989e+00
3.250000387237087507e-01,2.550250229661116919e+00
3.260000388428582752e-01,2.400292320355262632e+00
3.270000389620077996e-01,2.513834083214490533e+00
3.280000390811572686e-01,2.567867104893267083e+00
3.290000392003067931e-01,2.641167064875219239e+00
3.300000393194562620e-01,2.695336265396093722e+00
3.310000394386057865e-01,2.757056781248394373e+00
3.320000395577553109e-01,2.640658393488223510e+00
3.330000396769048354e-01,2.525642413875658576e+00
3.340000397960543044e-01,2.633555848851216297e+00
3.350000399152038288e-01,2.400430794485501451e+00
3.360000400343532978e-01,2.560493187694305561e+00
3.370000401535028223e-01,2.616427096503500138e+00
3.380000402726523467e-01,2.339273125879685722e+00
3.390000403918018712e-01,2.392705305946975614e+00
3.400000405109513402e-01,2.413148992158355099e+00
3.410000406301008646e-01,2.653088192970798787e+00
3.420000407492503336e-01,2.111267737282119583e+00
3.430000408683998581e-01,2.004816185075881663e+00
3.440000409875493825e-01,2.004174950267724853e+00
3.450000411066989070e-01,1.960544896214017285e+00
3.460000412258483760e-01,1.960040164133957319e+00
3.470000413449979004e-01,1.974913223271499874e+00
3.480000414641473694e-01,1.924417790906375103e+00
3.490000415832968939e-01,1.772068827968055871e+00
3.500000417024464183e-01,1.610011884835515161e+00
3.510000418215959428e-01,1.034486444661098403e+00
3.520000419407454118e-01,1.080018120438381857e+00
3.530000420598949362e-01,1.317128154523103944e+00
3.540000421790444052e-01,1.572026068628588291e+00
3.550000422981939296e-01,1.488268309923029165e+00
3.560000424173434541e-01,1.501880026402588442e+00
3.570000425364929786e-01,1.395343654120623000e+00
3.580000426556424475e-01,1.217731301782137621e+00
3.590000427747919165e-01,8.942549977067955069e-01
3.600000428939414410e-01,6.279823367730870132e-01
3.610000430130909654e-01,9.919372924260301261e-01
3.620000431322404899e-01,1.012157517832449116e+00
3.630000432513900144e-01,1.262684963942845684e+00
3.640000433705394833e-01,1.325021752128904495e+00
3.650000434896889523e-01,1.465925321696758488e+00
3.660000436088384768e-01,1.359906542626163173e+00
3.670000437279880012e-01,1.733905371308736676e+00
3.680000438471375257e-01,1.352252619566243652e+00
3.690000439662870502e-01,1.165146809044429688e+00
3.700000440854365191e-01,1.150387760792099812e+00
3.710000442045859881e-01,1.154916774526967060e+00
3.720000443237355126e-01,1.384024911481446907e+00
3.730000444428850370e-01,1.258206419784656305e+00
3.740000445620345615e-01,1.273783840019362401e+00
3.750000446811840860e-01,1.314248857357171119e+00
3.760000448003335549e-01,1.409941926843629290e+00
3.770000449194830239e-01,1.301569480406598700e+00
3.780000450386325483e-01,1.440534365224081625e+00
3.790000451577820728e-01,1.505338899293221289e+00
3.800000452769315973e-01,1.419754926383063776e+00
3.810000453960811218e-01,1.100724749652485457e+00
3.820000455152305907e-01,9.318848703433531000e-01
3.830000456343800597e-01,1.002672718135073637e+00
3.840000457535295841e-01,1.045767889763297376e+00
3.850000458726791086e-01,9.020613957065108934e-01
3.860000459918286331e-01,9.079276555815027905e-01
3.870000461109781575e-01,9.398084295274884425e-01
3.880000462301276265e-01,1.306212815991784737e+00
3.890000463492770955e-01,1.317685388936453705e+00
3.900000464684266199e-01,1.178772336895391959e+00
3.910000465875761444e-01,1.183419568321156135e+00
3.920000467067256689e-01,1.258854978875476149e+00
3.930000468258751933e-01,1.422455761666057583e+00
3.940000469450246623e-01,1.337614770188991997e+00
3.950000470641741313e-01,1.539366773560075785e+00
3.960000471833236557e-01,1.258422296346239477e+00
3.970000473024731802e-01,1.121303864428512043e+00
3.980000474216227047e-01,1.255792194138805939e+00
3.990000475407722291e-01,1.369032493632602154e+00
4.000000476599216981e-01,1.244377299420278860e+00
4.010000477790712781e-01,1.278236215007837018e+00
4.020000478982207470e-01,1.350103111221329755e+00
4.030000480173702160e-01,1.262627255130738035e+00
4.040000481365197960e-01,1.148927686347605004e+00
4.050000482556692649e-01,9.903585176396632050e-01
4.060000483748187894e-01,1.170130072832208157e+00
4.070000484939682583e-01,1.276662646148849944e+00
4.080000486131178383e-01,1.221433662270669629e+00
4.090000487322673073e-01,1.485225577549421416e+00
4.100000488514167762e-01,1.665783105679430776e+00
4.110000489705663007e-01,1.334702428290349019e+00
4.120000490897157697e-01,1.112559358304380908e+00
4.130000492088653496e-01,1.006371615842724054e+00
4.140000493280148186e-01,1.488923072791827451e+00
4.150000494471642876e-01,1.713262992864230227e+00
4.160000495663138675e-01,1.562947093400154586e+00
4.170000496854633365e-01,1.387701268513239938e+00
4.180000498046128610e-01,1.380969305319204921e+00
4.190000499237623299e-01,1.283087494313740251e+00
4.200000500429117989e-01,1.164140514436162732e+00
4.210000501620613789e-01,1.174976016686500202e+00
4.220000502812108478e-01,1.254455294460250059e+00
4.230000504003603723e-01,1.517345925644356441e+00
4.240000505195098413e-01,1.596608665288798079e+00
4.250000506386594212e-01,1.454124043159460200e+00
4.260000507578088902e-01,1.431679410466017544e+00
4.270000508769583591e-01,1.123362588259432471e+00
4.280000509961079391e-01,1.078086277746521660e+00
4.290000511152574081e-01,9.916033411813032217e-01
4.300000512344069326e-01,9.929271545820768097e-01
4.310000513535564015e-01,8.748033359292151090e-01
4.320000514727058705e-01,9.188999697997175531e-01
4.330000515918554505e-01,1.039875030889575669e+00
4.340000517110049194e-01,1.383768863598447751e+00
4.350000518301544439e-01,1.428940114158500307e+00
4.360000519493039128e-01,1.461110050914349756e+00
4.370000520684534928e-01,1.699883764226115090e+00
4.380000521876029618e-01,1.403050052916853474e+00
4.390000523067524307e-01,1.392130640706781719e+00
4.400000524259020107e-01,1.642760277697369986e+00
4.410000525450514797e-01,1.964597402221798461e+00
4.420000526642010041e-01,1.875627335326122136e+00
4.430000527833504731e-01,1.329430115540752411e+00
4.440000529024999421e-01,1.432646219605302917e+00
4.450000530216495220e-01,1.311065859509398024e+00
4.460000531407989910e-01,1.138049907257347115e+00
4.470000532599485155e-01,1.015339173856929733e+00
4.480000533790979844e-01,1.086677953396531393e+00
4.490000534982475644e-01,9.252862041448963737e-01
4.500000536173970334e-01,8.885115327503427807e-01
4.510000537365465023e-01,1.214054696475884043e+00
4.520000538556960823e-01,1.563680636398267154e+00
4.530000539748455513e-01,1.661890827879751953e+00
4.540000540939950757e-01,9.967912928317375076e-01
4.550000542131445447e-01,8.262121354620006741e-01
4.560000543322940136e-01,1.224804330336951352e+00
4.570000544514435936e-01,9.706071901692396864e-01
4.580000545705930626e-01,1.065890876668042608e+00
4.590000546897425870e-01,1.127151063776040019e+00
4.600000548088920560e-01,1.083958655914265989e+00
4.610000549280415250e-01,1.072708534755392407e+00
4.620000550471911049e-01,9.775419297435803401e-01
4.630000551663405739e-01,2.174930154715646324e+00
4.640000552854901539e-01,8.770866898906319875e-01
4.650000554046396228e-01,7.553306684071827704e-01
4.660000555237891473e-01,8.810910384609158541e-01
4.670000556429386163e-01,1.132894243525704780e+00
4.680000557620880852e-01,1.498709913934355598e+00
4.690000558812376652e-01,1.331979644717861788e+00
4.700000560003871342e-01,1.027139672956103311e+00
4.710000561195366586e-01,8.713645253158475157e-01
4.720000562386861276e-01,1.064144069002630033e+00
4.730000563578355965e-01,1.182854132364965949e+00
4.740000564769851765e-01,9.028510063881043379e-01
4.750000565961346455e-01,8.089048895920640803e-01
4.760000567152842255e-01,8.610265630227829092e-01
4.770000568344336944e-01,1.052833602643964639e+00
4.780000569535832189e-01,1.173420755284190875e+00
4.790000570727326878e-01,1.043165299192779116e+00
4.800000571918821568e-01,6.956833845983467768e-01
4.810000573110317368e-01,8.545841992595484271e-01
4.820000574301812057e-01,1.277091235149718784e+00
4.830000575493307302e-01,1.175244988870915108e+00
4.840000576684801992e-01,9.884394965419218693e-01
4.850000577876296681e-01,1.133123607732834159e+00
4.860000579067792481e-01,1.099231449293917251e+00
4.870000580259287171e-01,9.219323940374621884e-01
4.880000581450782970e-01,1.104218616780620721e+00
4.890000582642277660e-01,1.167554660027398938e+00
4.900000583833772350e-01,8.733671935255671315e-01
4.910000585025267594e-01,8.620447147251439901e-01
4.920000586216762284e-01,9.146984744266646317e-01
4.930000587408258084e-01,8.287549390998094623e-01
4.940000588599752773e-01,5.810815965372952974e-01
4.950000589791248018e-01,5.554723953405016346e-01
4.960000590982742708e-01,6.466450579025604384e-01
4.970000592174237397e-01,1.123979911868893566e+00
4.980000593365733197e-01,1.373747463832245330e+00
4.990000594557227886e-01,1.204172026216582481e+00
5.000000595748723686e-01,1.142332312646118453e+00
5.010000596940218376e-01,1.328177147934248126e+00
5.020000598131713065e-01,1.040888327985882711e+00
5.030000599323208865e-01,1.098062789517541660e+00
5.040000600514703555e-01,1.189125991399194504e+00
5.050000601706198244e-01,8.816653963722984599e-01
5.060000602897692934e-01,8.583089306032860577e-01
5.070000604089188734e-01,6.047080312565356053e-01
5.080000605280683423e-01,7.462563099252150778e-01
5.090000606472178113e-01,9.425219949426661969e-01
5.100000607663673913e-01,7.368460033387265185e-01
5.110000608855168602e-01,6.144692457982756650e-01
5.120000610046664402e-01,8.276502319139495967e-01
5.130000611238159092e-01,7.685561991308418328e-01
5.140000612429653781e-01,8.217037433585829831e-01
5.150000613621149581e-01,8.402025642518182735e-01
5.160000614812644271e-01,5.418791892879326610e-01
5.170000616004138960e-01,4.021904841193517655e-01
5.180000617195633650e-01,4.954546132483130805e-01
5.190000618387128339e-01,6.378566139347796593e-01
5.200000619578624139e-01,5.383655779691451926e-01
5.210000620770118829e-01,5.606806890856645964e-01
5.220000621961614629e-01,8.649388335837855379e-01
5.230000623153109318e-01,1.105783159748661149e+00
5.240000624344605118e-01,1.005913647016001278e+00
5.250000625536099808e-01,7.978828828217530145e-01
5.260000626727594497e-01,8.382054247647658940e-01
5.270000627919090297e-01,8.679558670803899645e-01
5.280000629110584986e-01,1.091373934922827971e+00
5.290000630302079676e-01,1.130128459265534957e+00
5.300000631493574366e-01,9.256080315734251940e-01
5.310000632685069055e-01,1.166851077381053869e+00
5.320000633876564855e-01,1.307830755517016996e+00
5.330000635068059545e-01,1.394577036808520631e+00
5.340000636259555344e-01,1.072249962159865788e+00
5.350000637451050034e-01,7.942328164299112814e-01
5.360000638642545834e-01,8.315363897491963030e-01
5.370000639834040523e-01,9.101570374668526142e-01
5.380000641025535213e-01,9.669026850782671545e-01
5.390000642217031013e-01,9.640218095968577927e-01
5.400000643408525702e-01,1.264174397798086602e+00
5.410000644600020392e-01,8.426122456657267890e-01
5.420000645791515081e-01,6.983774191401366238e-01
5.430000646983009771e-01,8.159158433504174468e-01
5.440000648174505571e-01,1.117260667755424208e+00
5.450000649366000260e-01,1.009338559384133305e+00
5.460000650557496060e-01,9.202404720929351356e-01
5.470000651748990750e-01,8.928118691158815068e-01
5.480000652940485439e-01,8.871752520429581068e-01
5.490000654131981239e-01,6.696425047048251145e-01
5.500000655323475929e-01,7.563865575925206031e-01
5.510000656514971729e-01,9.448961302350369351e-01
5.520000657706466418e-01,7.854584014216925425e-01
5.530000658897961108e-01,7.463044997976879813e-01
5.540000660089455797e-01,7.903102503872787565e-01
5.550000661280950487e-01,6.617364521587774107e-01
5.560000662472446287e-01,7.248342942864098859e-01
5.570000663663940976e-01,6.041745791705963597e-01
5.580000664855436776e-01,7.085157687309333596e-01
5.590000666046931466e-01,6.887922997279076753e-01
5.600000667238426155e-01,9.422580988320703455e-01
5.610000668429921955e-01,1.045217900811813649e+00
5.620000669621416645e-01,8.357423055221104846e-01
5.630000670812912444e-01,5.785903259621107964e-01
5.640000672004407134e-01,5.583016243847467308e-01
5.650000673195901824e-01,8.180221837213750291e-01
5.660000674387396513e-01,9.103520306916692562e-01
5.670000675578891203e-01,9.053809116768718468e-01
5.680000676770387003e-01,7.568601435639195074e-01
5.690000677961881692e-01,8.885173822002698785e-01
5.700000679153377492e-01,6.602518099839613797e-01
5.710000680344872181e-01,5.669195961933795047e-01
5.720000681536366871e-01,8.136478367236037457e-01
5.730000682727862671e-01,1.027015701623163579e+00
5.740000683919357360e-01,9.429259962408735873e-01
5.750000685110853160e-01,7.596649839821481009e-01
5.760000686302347850e-01,6.311898071750263739e-01
5.770000687493842539e-01,6.509661967575297581e-01
5.780000688685337229e-01,8.328372853190941782e-01
5.790000689876831919e-01,7.754829121917126145e-01
5.800000691068327718e-01,6.872901056756788307e-01
5.810000692259822408e-01,6.191258230596687895e-01
5.820000693451318208e-01,5.533119230072784944e-01
5.830000694642812897e-01,5.081660313261977535e-01
5.840000695834307587e-01,1.307816043495861891e-01
5.850000697025803387e-01,0.000000000000000000e+00
5.860000698217298076e-01,2.907663752833187232e-01
5.870000699408793876e-01,6.078377916812129911e-01
5.880000700600288566e-01,7.321004325200206608e-01
5.890000701791783255e-01,6.820657154001281697e-01
5.900000702983277945e-01,8.223245887961283529e-01
5.910000704174772634e-01,6.889624023501639272e-01
5.920000705366268434e-01,6.419818923962736790e-01
5.930000706557763124e-01,7.385037840264558895e-01
5.940000707749258924e-01,7.420730655343774629e-01
5.950000708940753613e-01,6.819403439699698311e-01
5.960000710132248303e-01,7.432868647902779458e-01
5.970000711323744103e-01,6.908772030259484609e-01
5.980000712515238792e-01,6.019390907881501107e-01
5.990000713706734592e-01,6.376946608586422371e-01
